station_id,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
72470093141,724700,93141,CARBON COUNTY AIRPORT,US,UT,KPUC,39.609,-110.755,1804.7,2006-01-01,2018-01-31
72472099999,724720,99999,BLANDING,US,UT,,37.617,-109.46700000000001,1840.0,1973-01-01,2018-01-29
72472393025,724723,93025,BLANDING MUNI,US,UT,K4BL,37.583,-109.48299999999999,1789.0,1990-02-08,2010-06-21
72473523170,724735,23170,HANKSVILLE,US,UT,KHVE,38.371,-110.715,1354.5,1973-01-01,2018-01-31
72475099999,724750,99999,MILFORD MUNICIPAL,US,UT,KMLF,38.417,-113.01700000000001,1536.0,1973-01-01,2018-01-15
72475423186,724754,23186,ST GEORGE MUNICIPAL ARPT,US,UT,KSGU,37.1,-113.6,894.9,2006-01-01,2018-01-31
72475593129,724755,93129,CEDAR CITY REGIONAL ARPT,US,UT,KCDC,37.709,-113.094,1702.6,1973-01-01,2018-01-31
72475623159,724756,23159,BRYCE CANYON AIRPORT,US,UT,KBCE,37.705999999999996,-112.146,2312.2,1973-01-01,2018-01-31
72477693075,724776,93075,CANYONLANDS FIELD AIRPORT,US,UT,KCNY,38.75,-109.76299999999999,1389.9,2006-01-01,2018-01-31
72479599999,724795,99999,DELTA,US,UT,KU24,39.33,-112.58,1414.0,1973-01-01,2012-10-01
72479694128,724796,94128,LOGAN-CACHE AIRPORT,US,UT,KLGU,41.787,-111.853,1357.6,1999-01-01,2018-01-31
72479723176,724797,23176,MILFORD MUNI BRISCOE,US,UT,KMLF,38.417,-113.01700000000001,1534.1,1997-01-01,2018-01-31
72570594030,725705,94030,VERNAL AIRPORT,US,UT,KVEL,40.443000000000005,-109.51299999999999,1606.3,2006-01-01,2018-01-31
72572024127,725720,24127,SALT LAKE CITY INTERNATIONAL AIRPORT,US,UT,KSLC,40.778,-111.969,1287.8,1941-11-01,2018-01-31
72572424174,725724,24174,PROVO MUNICIPAL AIRPORT,US,UT,KPVU,40.219,-111.723,1370.7,2006-01-01,2018-01-31
72575024126,725750,24126,OGDEN-HINCKLEY AIRPORT,US,UT,KOGD,41.196000000000005,-112.01100000000001,1362.5,1973-01-01,2018-01-31
72575399999,725753,99999,EAGLE RANGE,US,UT,KU16,41.05,-113.07,1292.0,1991-07-11,2018-01-28
72575524101,725755,24101,HILL AFB AIRPORT,US,UT,KHIF,41.117,-111.96700000000001,1459.7,1941-10-01,2018-01-31
72581024193,725810,24193,WENDOVER AIRPORT,US,UT,KENV,40.721,-114.036,1291.4,1942-08-01,2018-01-31
74003024103,740030,24103,MICHAEL AAF AIRPORT,US,UT,KDPG,40.183,-112.93299999999999,1325.6,2006-01-03,2018-01-30
9999993081,999999,3081,TROPIC 9 SE,US,UT,,37.516999999999996,-111.978,1796.8,2009-07-14,2014-06-01
9999994133,999999,4133,HEBER CITY MUNI ARPT-RUSS MCDONALD FIELD,US,UT,,40.482,-111.429,1718.2,2004-07-02,2017-10-12
9999994134,999999,4134,GRANITE PEAK DUGWAY PROVING GROUND,US,UT,KQCA,40.161,-113.351,1310.6,2006-08-02,2018-01-30
9999994138,999999,4138,BRIGHAM CITY 28 WNW,US,UT,,41.61600000000001,-112.544,1509.1,2007-08-19,2017-10-06
99999923162,999999,23162,DELTA FAA AP,US,UT,KDTA,39.383,-112.51700000000001,1449.3,1948-11-01,2018-01-31
99999953149,999999,53149,TORREY 7 E,US,UT,,38.303000000000004,-111.294,1891.0,2007-10-02,2017-10-06
